Input_data,Angle,Evaluation
"[-41.013, -87.617, 0.031, -1041.762, 146.41, 200.0]","[165.42259216308594, -8.632108688354492]"
"[-293.0, -0.0, 0.031, -1041.762, 146.41, 200.0]","[168.63143920898438, -13.202269554138184]"
"[9.257, -67.598, 0.031, -231.406, 1088.678, 200.0]","[100.82615661621094, -7.666624546051025]"
"[147.414, 47.898, 0.031, -231.406, 1088.678, 200.0]","[109.3099594116211, -8.02738094329834]"
"[-136.0, -0.0, 0.031, -231.406, 1088.678, 200.0]","[94.2581787109375, -9.149435997009277]"
"[278.302, 202.198, 0.031, -231.406, 1088.678, 200.0]","[118.83038330078125, -9.673359870910645]"
"[141.656, -194.973, 0.031, -296.757, 970.649, 200.0]","[110.86146545410156, -8.162672996520996]"
"[0.0, -344.0, 0.031, -296.757, 970.649, 200.0]","[103.12606811523438, -7.891569137573242]"
"[-163.404, 224.907, 0.031, -296.757, 970.649, 200.0]","[102.0495376586914, -14.193230628967285]"
"[-104.139, 320.506, 0.031, -296.757, 970.649, 200.0]","[107.30342102050781, -15.99153995513916]"
"[278.302, 202.198, 0.031, -296.757, 970.649, 200.0]","[128.1839141845703, -11.472827911376953]"
"[-194.016, -63.04, 0.031, -296.757, 970.649, 200.0]","[95.79834747314453, -9.261643409729004]"
"[-324.31, 105.375, 0.031, -296.757, 970.649, 200.0]","[89.23342895507812, -11.934124946594238]"
"[-25.339, 77.987, 0.031, -296.757, 970.649, 200.0]","[107.98237609863281, -11.995450019836426]"
"[42.953, 132.197, 0.031, -296.757, 970.649, 200.0]","[110.40569305419922, -10.702872276306152]"
"[158.702, 218.435, 0.031, -296.757, 970.649, 200.0]","[123.8009262084961, -12.112351417541504]"
"[161.68, 52.533, 0.031, -296.757, 970.649, 200.0]","[118.52910614013672, -10.661626815795898]"
"[237.851, -172.809, 0.031, -18.971, 1086.834, 200.0]","[100.99714660644531, -7.992281913757324]"
"[42.953, 132.197, 0.031, -18.971, 1086.834, 200.0]","[92.4580078125, -11.620725631713867]"
"[-181.652, -59.022, 0.031, -18.971, 1086.834, 200.0]","[81.52371215820312, -9.061065673828125]"
"[-56.241, 173.092, 0.031, -18.971, 1086.834, 200.0]","[87.79690551757812, -11.90784740447998]"
"[-56.241, 173.092, 0.031, 656.381, 810.563, 200.0]","[43.42940139770508, -9.684015274047852]"
"[101.358, 311.947, 0.031, 656.381, 810.563, 200.0]","[44.71126937866211, -14.281330108642578]"
