Input_data,Angle,Evaluation
"[960.541, -204.169, 0.031, 60.091, 73.51, 132.922]","[163.718017578125, -7.3604254722595215]"
"[635.828, -283.089, 0.031, 60.091, 73.51, 132.922]","[148.09207153320312, -9.818829536437988]"
"[337.36, -245.106, 0.031, 60.091, 73.51, 132.922]","[126.94453430175781, -15.871575355529785]"
"[216.798, -240.779, 0.031, 60.091, 73.51, 132.922]","[115.798583984375, -20.216611862182617]"
"[-198.08, -609.627, 0.031, 60.091, 73.51, 132.922]","[69.9647216796875, -9.973710060119629]"
"[-467.555, 99.382, 0.031, 60.091, 73.51, 132.922]","[356.8448486328125, -14.322443962097168]"
"[-218.435, 158.702, 0.031, 60.091, 73.51, 132.922]","[341.3451843261719, -24.630346298217773]"
"[-201.0, 348.142, 0.031, 60.091, 73.51, 132.922]","[313.0873107910156, -18.561840057373047]"
"[92.194, 877.168, 0.031, 60.091, 73.51, 132.922]","[269.08837890625, -6.89166784286499]"
"[81.889, 252.03, 0.031, 60.091, 73.51, 132.922]","[267.4466857910156, -35.365962982177734]"
"[228.386, 101.684, 0.031, 60.091, 73.51, 132.922]","[192.525146484375, -35.62150955200195]"
"[568.0, 0.0, 0.031, 60.091, 73.51, 132.922]","[171.9110565185547, -13.451362609863281]"
"[216.798, -240.779, 0.031, 15.707, 194.738, 170.215]","[115.17756652832031, -17.947528839111328]"
"[-545.806, -116.015, 0.031, 15.707, 194.738, 170.215]","[32.39267349243164, -14.74478816986084]"
"[-467.555, 99.382, 0.031, 15.707, 194.738, 170.215]","[14.537602424621582, -18.119813919067383]"
"[-218.435, 158.702, 0.031, 15.707, 194.738, 170.215]","[13.12559700012207, -33.535945892333984]"
"[-578.798, 642.82, 0.031, 15.707, 194.738, 170.215]","[321.9659423828125, -11.523151397705078]"
"[-201.0, 348.142, 0.031, 15.707, 194.738, 170.215]","[324.6351318359375, -33.134918212890625]"
"[-227.437, 699.978, 0.031, 15.707, 194.738, 170.215]","[299.1079406738281, -16.675064086914062]"
"[-75.156, 715.061, 0.031, 15.707, 194.738, 170.215]","[281.1498718261719, -17.02812385559082]"
"[81.889, 252.03, 0.031, 15.707, 194.738, 170.215]","[218.25648498535156, -64.80176544189453]"
"[228.386, 101.684, 0.031, 15.707, 194.738, 170.215]","[156.11373901367188, -36.29770278930664]"
"[568.0, 0.0, 0.031, 15.707, 194.738, 170.215]","[162.1517333984375, -13.745148658752441]"
"[475.38, -101.045, 0.031, 15.707, 194.738, 170.215]","[149.28494262695312, -18.04302406311035]"
"[217.626, -158.114, 0.031, 15.707, 194.738, 170.215]","[119.31376647949219, -20.457523345947266]"
"[-199.401, -221.457, 0.031, 15.707, 194.738, 170.215]","[64.6231460571289, -19.99711036682129]"
"[-549.323, -399.106, 0.031, 15.707, 194.738, 170.215]","[47.335208892822266, -9.89256763458252]"
"[-556.349, -247.703, 0.031, 15.707, 194.738, 170.215]","[39.64075469970703, -12.822683334350586]"
"[-264.1, -56.136, 0.031, 15.707, 194.738, 170.215]","[42.504337310791016, -23.595996856689453]"
"[-329.0, -0.0, 0.031, 15.707, 194.738, 170.215]","[33.063961029052734, -23.048181533813477]"
"[-436.273, 484.53, 0.031, 15.707, 194.738, 170.215]","[329.48748779296875, -16.92949104309082]"
"[-136.5, 236.425, 0.031, 15.707, 194.738, 170.215]","[345.90545654296875, -47.514530181884766]"
"[100.556, 956.73, 0.031, 15.707, 194.738, 170.215]","[262.4600524902344, -10.248810768127441]"
"[166.5, 288.386, 0.031, 15.707, 194.738, 170.215]","[207.96693420410156, -45.824493408203125]"
"[241.896, 175.748, 0.031, 15.707, 194.738, 170.215]","[173.28399658203125, -36.192543029785156]"
"[167.283, -185.786, 0.031, -180.66, 13.853, 216.249]","[146.86007690429688, -27.93087387084961]"
"[212.913, -655.278, 0.031, -180.66, 13.853, 216.249]","[122.29540252685547, -15.605700492858887]"
"[-85.504, -813.519, 0.031, -180.66, 13.853, 216.249]","[93.68289947509766, -15.164405822753906]"
"[-109.701, -337.625, 0.031, -180.66, 13.853, 216.249]","[101.53782653808594, -32.651405334472656]"
"[-199.401, -221.457, 0.031, -180.66, 13.853, 216.249]","[87.91864776611328, -44.00162887573242]"
"[-264.1, -56.136, 0.031, -180.66, 13.853, 216.249]","[43.66232681274414, -61.25444030761719]"
"[-329.0, -0.0, 0.031, -180.66, 13.853, 216.249]","[2.8210508823394775, -56.02149200439453]"
"[-253.052, 112.666, 0.031, -180.66, 13.853, 216.249]","[305.6761474609375, -59.799922943115234]"
"[-550.941, 400.282, 0.031, -180.66, 13.853, 216.249]","[316.5749816894531, -20.045616149902344]"
"[-136.5, 236.425, 0.031, -180.66, 13.853, 216.249]","[256.17803955078125, -42.40304946899414]"
"[394.787, 438.455, 0.031, -180.66, 13.853, 216.249]","[219.6406707763672, -14.939155578613281]"
"[177.989, -197.676, 0.031, -180.66, 13.853, 216.249]","[152.79808044433594, -27.839614868164062]"
"[114.645, -352.842, 0.031, -180.66, 13.853, 216.249]","[130.04331970214844, -22.25579261779785]"
"[-237.634, -731.363, 0.031, -180.66, 13.853, 216.249]","[85.24273681640625, -13.70152759552002]"
"[-266.5, -461.592, 0.031, -180.66, 13.853, 216.249]","[81.26697540283203, -22.779756546020508]"
"[-311.472, -226.297, 0.031, -180.66, 13.853, 216.249]","[60.98817825317383, -40.3131217956543]"
"[-407.888, -86.699, 0.031, -180.66, 13.853, 216.249]","[22.1793212890625, -42.20854949951172]"
"[-447.0, -0.0, 0.031, -180.66, 13.853, 216.249]","[4.940258502960205, -40.135555267333984]"
"[-652.424, 138.677, 0.031, -180.66, 13.853, 216.249]","[348.43505859375, -22.46542739868164]"
"[-352.629, 157.0, 0.031, -180.66, 13.853, 216.249]","[322.233642578125, -45.40948486328125]"
"[-432.258, 480.072, 0.031, -180.66, 13.853, 216.249]","[299.60858154296875, -20.881078720092773]"
"[-153.5, 265.87, 0.031, -180.66, 13.853, 216.249]","[260.3188781738281, -38.46788787841797]"
"[-146.474, 450.801, 0.031, -180.66, 13.853, 216.249]","[263.38568115234375, -25.731319427490234]"
"[-27.909, 265.537, 0.031, -180.66, 13.853, 216.249]","[239.6685028076172, -35.606624603271484]"
"[28.536, 271.504, 0.031, -180.66, 13.853, 216.249]","[232.33624267578125, -34.16372299194336]"
"[256.275, 54.473, 0.031, -180.66, 13.853, 216.249]","[188.27134704589844, -26.275909423828125]"
"[567.326, -120.589, 0.031, -81.722, -53.458, 114.232]","[175.7217254638672, -9.933005332946777]"
"[593.805, -264.379, 0.031, -81.722, -53.458, 114.232]","[163.984375, -7.070877552032471]"
"[177.989, -197.676, 0.031, -81.722, -53.458, 114.232]","[152.28697204589844, -21.116233825683594]"
"[467.5, -809.734, 0.031, -81.722, -53.458, 114.232]","[121.76199340820312, -7.08264684677124]"
"[114.645, -352.842, 0.031, -81.722, -53.458, 114.232]","[121.54878997802734, -18.034229278564453]"
"[-58.954, -560.91, 0.031, -81.722, -53.458, 114.232]","[95.7392349243164, -10.399335861206055]"
"[-237.634, -731.363, 0.031, -81.722, -53.458, 114.232]","[77.84716796875, -7.046970844268799]"
"[-266.5, -461.592, 0.031, -81.722, -53.458, 114.232]","[67.86228942871094, -13.820234298706055]"
"[-311.472, -226.297, 0.031, -81.722, -53.458, 114.232]","[37.4715690612793, -22.265775680541992]"
"[-653.185, -290.817, 0.031, -81.722, -53.458, 114.232]","[23.01656150817871, -10.077308654785156]"
"[-447.0, -0.0, 0.031, -81.722, -53.458, 114.232]","[355.9321594238281, -15.380647659301758]"
"[-432.258, 480.072, 0.031, -81.722, -53.458, 114.232]","[305.4148254394531, -7.950179100036621]"
"[-153.5, 265.87, 0.031, -81.722, -53.458, 114.232]","[281.9530944824219, -17.364784240722656]"
"[-146.474, 450.801, 0.031, -81.722, -53.458, 114.232]","[275.1391906738281, -10.969037055969238]"
"[-27.909, 265.537, 0.031, -81.722, -53.458, 114.232]","[264.5015563964844, -17.409048080444336]"
"[28.536, 271.504, 0.031, -81.722, -53.458, 114.232]","[254.0498504638672, -17.34079360961914]"
"[353.301, 392.38, 0.031, -81.722, -53.458, 114.232]","[222.94708251953125, -8.508172035217285]"
"[198.5, -343.812, 0.031, -81.722, -53.458, 114.232]","[131.90869140625, -14.326719284057617]"
"[97.34, -299.583, 0.031, -81.722, -53.458, 114.232]","[129.7124786376953, -19.694143295288086]"
"[51.428, -489.305, 0.031, -81.722, -53.458, 114.232]","[110.51053619384766, -12.546074867248535]"
"[-45.679, -434.606, 0.031, -81.722, -53.458, 114.232]","[97.3466796875, -15.663122177124023]"
"[-428.0, -0.0, 0.031, -81.722, -53.458, 114.232]","[347.6477355957031, -15.681601524353027]"
"[-748.283, 159.052, 0.031, -81.722, -53.458, 114.232]","[340.1040344238281, -6.971276760101318]"
"[-418.404, 186.285, 0.031, -81.722, -53.458, 114.232]","[327.2034606933594, -14.478987693786621]"
"[-130.0, 225.167, 0.031, -81.722, -53.458, 114.232]","[275.083740234375, -19.571483612060547]"
"[-214.149, 659.082, 0.031, -81.722, -53.458, 114.232]","[281.1504211425781, -7.60933780670166]"
"[-52.996, 504.223, 0.031, -81.722, -53.458, 114.232]","[264.461669921875, -10.977469444274902]"
"[424.0, 734.39, 0.031, -81.722, -53.458, 114.232]","[235.7263641357422, -6.459400653839111]"
"[753.675, 335.558, 0.031, -81.722, -53.458, 114.232]","[204.25433349609375, -6.751280784606934]"
"[332.0, 0.0, 0.031, -81.722, -53.458, 114.232]","[192.28575134277344, -12.953227996826172]"
"[97.34, -299.583, 0.031, 113.094, 48.354, 148.668]","[90.08866882324219, -22.144941329956055]"
"[-278.0, -481.51, 0.031, 113.094, 48.354, 148.668]","[53.70420455932617, -10.48769474029541]"
"[-477.759, -530.605, 0.031, 113.094, 48.354, 148.668]","[42.09136199951172, -8.576260566711426]"
"[-214.149, 659.082, 0.031, 113.094, 48.354, 148.668]","[295.76849365234375, -10.815837860107422]"
"[-52.996, 504.223, 0.031, 113.094, 48.354, 148.668]","[288.43804931640625, -15.417335510253906]"
"[91.778, 282.464, 0.031, 113.094, 48.354, 148.668]","[279.8434143066406, -31.862564086914062]"
"[424.0, 734.39, 0.031, 113.094, 48.354, 148.668]","[247.32351684570312, -11.000117301940918]"
"[332.0, 0.0, 0.031, 113.094, 48.354, 148.668]","[166.43707275390625, -35.50959014892578]"
"[280.458, -124.868, 0.031, 113.094, 48.354, 148.668]","[137.55702209472656, -33.60270309448242]"
"[268.991, -298.744, 0.031, 113.094, 48.354, 148.668]","[115.58795166015625, -19.98113250732422]"
"[182.5, -316.099, 0.031, 113.094, 48.354, 148.668]","[99.95882415771484, -19.718828201293945]"
"[83.435, -256.785, 0.031, 113.094, 48.354, 148.668]","[87.75191497802734, -24.762439727783203]"
"[-239.797, -738.02, 0.031, 113.094, 48.354, 148.668]","[66.84615325927734, -9.59543514251709]"
"[-816.71, 363.622, 0.031, 113.094, 48.354, 148.668]","[341.9588623046875, -6.282571315765381]"
"[-171.297, 190.245, 0.031, 113.094, 48.354, 148.668]","[336.7065734863281, -24.960494995117188]"
"[-145.238, 446.997, 0.031, 113.094, 48.354, 148.668]","[306.0699768066406, -15.025810241699219]"
"[26.55, 252.609, 0.031, 113.094, 48.354, 148.668]","[294.888427734375, -33.49686813354492]"
"[218.0, 377.587, 0.031, 113.094, 48.354, 148.668]","[253.57325744628906, -20.95088768005371]"
"[240.262, 106.972, 0.031, 113.094, 48.354, 148.668]","[200.3877410888672, -46.89823913574219]"
"[415.0, 0.0, 0.031, 113.094, 48.354, 148.668]","[167.60426330566406, -23.707969665527344]"
"[280.458, -124.868, 0.031, 30.694, 36.057, 156.063]","[142.82672119140625, -27.23427963256836]"
"[83.435, -256.785, 0.031, 30.694, 36.057, 156.063]","[104.11930084228516, -26.656740188598633]"
"[62.926, -598.702, 0.031, 30.694, 36.057, 156.063]","[91.2057876586914, -11.4849271774292]"
"[-239.797, -738.02, 0.031, 30.694, 36.057, 156.063]","[72.09320068359375, -10.852616310119629]"
"[-438.28, -486.76, 0.031, 30.694, 36.057, 156.063]","[47.44551086425781, -10.251913070678711]"
"[-754.004, -547.816, 0.031, 30.694, 36.057, 156.063]","[39.30487823486328, -9.572715759277344]"
"[-607.508, -270.48, 0.031, 30.694, 36.057, 156.063]","[28.115991592407227, -11.873419761657715]"
"[-816.71, 363.622, 0.031, 30.694, 36.057, 156.063]","[339.2265319824219, -7.428146839141846]"
"[-171.297, 190.245, 0.031, 30.694, 36.057, 156.063]","[325.8958435058594, -32.0879020690918]"
"[-182.0, 315.233, 0.031, 30.694, 36.057, 156.063]","[307.2487487792969, -22.526105880737305]"
"[26.55, 252.609, 0.031, 30.694, 36.057, 156.063]","[275.4359130859375, -34.228431701660156]"
"[146.783, 451.752, 0.031, 30.694, 36.057, 156.063]","[253.66641235351562, -20.046030044555664]"
