observations,actions,rewards,next_observations
"[0.47651371359825134, -0.22920334339141846, -4.248529434204102, 12207.03125, 0.0, -3051.7578125]","[78.22584533691406, -67.23050689697266]",-0.0006698002689518034,"[0.0010000000474974513, 0.0, -0.014968999661505222, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[1.447047233581543, 0.34115317463874817, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[322.14794921875, -41.559715270996094]",-0.00017969879263546318,"[0.0717800036072731, 0.0427200011909008, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[1.0460680723190308, 0.8699344992637634, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[345.6405334472656, -15.760514259338379]",-0.0003539911995176226,"[0.04253700003027916, 0.0823260024189949, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[0.4022359549999237, 1.0841253995895386, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[280.2834167480469, -64.41758728027344]",-0.0005362351657822728,"[-0.004416999872773886, 0.09836900234222412, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-0.27841275930404663, 1.0345795154571533, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[336.3726806640625, -38.57857131958008]",-0.00028388865757733583,"[-0.05405599996447563, 0.0946580022573471, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-0.2768084406852722, 0.37808215618133545, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[31.03989601135254, -26.106908798217773]",-0.000661550322547555,"[-0.05393899977207184, 0.045485999435186386, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-1.787333369255066, -0.5162240862846375, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[184.53285217285156, -27.041719436645508]",-0.0007904162630438805,"[-0.16410000622272491, -0.021498000249266624, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[1.7425129413604736, 0.9501476287841797, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[227.1018829345703, -69.34799194335938]",-0.0006289638695307076,"[0.09332799911499023, 0.08833400160074234, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-0.2620680630207062, -0.2841161787509918, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[290.6094665527344, -36.39860534667969]",-0.0003454145335126668,"[-0.05286400020122528, -0.004112999886274338, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-0.5775806307792664, -1.778831958770752, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[178.24037170410156, -59.29053497314453]",-0.000690000073518604,"[-0.07587400078773499, -0.11606799811124802, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-0.29516878724098206, 1.7001556158065796, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[233.33982849121094, -55.6959114074707]",-0.0007407726952806115,"[-0.055277999490499496, 0.14451000094413757, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-0.8799022436141968, 1.340972661972046, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[62.95439529418945, -63.88786697387695]",-0.0007752574165351689,"[-0.09792199730873108, 0.1176069974899292, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-0.9472965598106384, 0.6682670712471008, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[219.2350311279297, -19.85840606689453]",-0.0007872928981669247,"[-0.10283699631690979, 0.06722100079059601, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-1.217559576034546, 0.06126193329691887, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[160.31979370117188, -30.499313354492188]",-0.0007825982174836099,"[-0.12254700064659119, 0.021756000816822052, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
